Age,Gender,City_Type,Annual_Income,Education_Level,Occupation,Steps_Per_Day,Workout_Days_Per_Week,Preferred_Workout_Type,Workout_Duration_Min,Calories_Burned_Per_Day,Uses_Fitness_App,Features_Used,App_Usage_Frequency,Subscribed_Premium,Motivators_For_Upgrade,Willingness_To_Pay,Fitness_Importance_1_10,Biggest_Challenge,Fitness_Motivated_By,Preferred_Device,NPS_Recommend_1_10,Content_Engaged,Interested_In_Group_Challenges,Fitness_Goal
37,Female,Metro,77265,Graduate,Retired,6224,7,Yoga,20,576,Yes,"Step Tracker, Challenges, Social Community, Progress Tracking",Daily,No,Ad-free Experience,90,6,Other,Self,Smartphone,5,Challenges,No,General Wellness
29,Female,Rural,64325,Graduate,Student,10553,3,Yoga,15,702,Yes,"Social Community, Step Tracker, Challenges",Daily,No,"Advanced Analytics, Ad-free Experience, Social Competitions",290,5,Cost,Friends,Fitness Band,8,Challenges,No,Muscle Gain
41,Female,Metro,121720,High School,Professional,7042,2,Cardio,23,483,Yes,Progress Tracking,Rarely,No,"Personalized Plans, Advanced Analytics",138,6,Lack of Time,Family,Smartphone,9,Articles,Yes,Weight Loss
30,Male,Rural,24945,Graduate,Retired,5842,4,None,24,400,Yes,Workout Plans,Daily,No,"Personalized Plans, Social Competitions, 1:1 Coach",315,8,Guidance,Self,Smartphone,7,Community Posts,Yes,Weight Loss
23,Male,Rural,71096,Postgraduate,Professional,500,2,Mixed,20,400,Yes,"Step Tracker, Social Community, Challenges, Progress Tracking",Weekly,No,Ad-free Experience,293,7,Lack of Time,Self,Smartphone,7,Community Posts,Yes,Weight Loss
42,Male,Urban,26662,Graduate,Student,8166,5,Mixed,33,860,Yes,Step Tracker,Daily,No,"Social Competitions, 1:1 Coach",359,6,Health Issues,Self,Smartwatch,5,Challenges,Yes,Weight Loss
34,Female,Rural,96747,Postgraduate,Professional,8975,3,Yoga,12,740,Yes,"Diet Tracking, Progress Tracking",Daily,No,"Ad-free Experience, Social Competitions",277,2,Cost,Family,Smartphone,6,Challenges,No,Weight Loss
21,Male,Urban,63118,Other,Homemaker,2749,4,Strength Training,60,473,Yes,Step Tracker,Daily,No,"Social Competitions, 1:1 Coach, Personalized Plans",259,6,Other,Self,Smartphone,6,Live Classes,Yes,Weight Loss
28,Female,Metro,81617,Graduate,Professional,6832,1,Mixed,31,561,Yes,Diet Tracking,Monthly,Yes,"Social Competitions, Custom Diet Plans, Personalized Plans",792,10,Guidance,Family,Smartphone,10,Live Classes,Yes,General Wellness
22,Male,Metro,42961,Postgraduate,Other,7482,5,Cardio,40,608,Yes,Progress Tracking,Daily,No,"Personalized Plans, Advanced Analytics, 1:1 Coach",404,1,Guidance,Friends,Smartphone,6,Articles,No,General Wellness
18,Male,Urban,125458,Graduate,Professional,9411,4,Yoga,16,790,Yes,Step Tracker,Daily,No,"Advanced Analytics, Social Competitions",416,7,Guidance,Family,Smartphone,4,Challenges,No,General Wellness
37,Female,Metro,111397,Doctorate,Student,5188,1,Cardio,34,448,Yes,"Progress Tracking, Diet Tracking",Daily,No,"Personalized Plans, 1:1 Coach, Ad-free Experience",328,5,Motivation,Family,Smartphone,7,Live Classes,Yes,Weight Loss
45,Male,Urban,88589,Other,Other,4811,1,None,47,517,Yes,"Diet Tracking, Workout Plans, Step Tracker",Weekly,No,"Ad-free Experience, Advanced Analytics",281,4,Motivation,Friends,Fitness Band,8,Articles,No,General Wellness
18,Male,Rural,62021,Postgraduate,Professional,5858,2,Cardio,38,400,Yes,"Diet Tracking, Progress Tracking, Step Tracker",Daily,No,Custom Diet Plans,335,7,Guidance,Self,Smartphone,6,Community Posts,Yes,Weight Loss
34,Male,Metro,88426,Graduate,Professional,10211,7,Cardio,66,1231,Yes,Diet Tracking,Daily,No,"Ad-free Experience, Custom Diet Plans",410,8,Other,Self,Smartwatch,9,Challenges,No,General Wellness
24,Female,Semi-Urban,46469,Postgraduate,Professional,9609,2,Yoga,42,682,No,None,Never,No,None,88,4,Guidance,None,Fitness Band,5,None,No,Weight Loss
26,Female,Rural,101496,High School,Professional,6946,3,Sports,11,587,Yes,"Challenges, Step Tracker, Progress Tracking",Daily,Yes,"Social Competitions, 1:1 Coach",759,7,Health Issues,Self,Smartphone,6,Video Workouts,Yes,Muscle Gain
25,Male,Rural,150955,Postgraduate,Student,9549,0,Yoga,25,671,No,None,Never,No,None,387,2,Health Issues,Friends,Smartphone,3,None,No,Weight Loss
23,Male,Rural,113018,Postgraduate,Student,1078,2,Cardio,15,400,Yes,"Step Tracker, Progress Tracking",Monthly,No,"Advanced Analytics, Ad-free Experience, Social Competitions",357,6,Guidance,Self,Fitness Band,7,Challenges,Yes,General Wellness
30,Male,Urban,45944,Graduate,Professional,8979,3,Cardio,58,702,Yes,Diet Tracking,Daily,No,Advanced Analytics,332,7,Motivation,Self,Fitness Band,4,Live Classes,Yes,Athletic Training
23,Female,Rural,79277,Graduate,Homemaker,4203,7,Sports,34,702,Yes,Workout Plans,Daily,No,"Ad-free Experience, Personalized Plans, Advanced Analytics",50,5,Guidance,Friends,Fitness Band,7,Challenges,Yes,General Wellness
32,Female,Urban,34663,Graduate,Professional,11417,3,None,68,902,Yes,"Challenges, Workout Plans, Diet Tracking, Progress Tracking",Rarely,No,"Social Competitions, Personalized Plans",297,5,Motivation,Self,Fitness Band,3,Video Workouts,Yes,Weight Loss
29,Male,Metro,88097,Graduate,Other,4339,5,Mixed,12,400,Yes,"Workout Plans, Step Tracker, Progress Tracking, Challenges",Weekly,No,"Custom Diet Plans, Personalized Plans",564,10,Lack of Time,Influencers,Smartphone,8,Challenges,No,Weight Loss
28,Male,Urban,82892,Graduate,Professional,4868,3,Strength Training,26,400,Yes,"Social Community, Diet Tracking",Daily,No,Personalized Plans,351,7,Motivation,Friends,Fitness Band,8,Live Classes,Yes,Athletic Training
22,Male,Urban,25980,Postgraduate,Professional,8406,0,Mixed,42,400,No,None,Never,No,None,313,5,Other,Influencers,Smartphone,4,None,No,Muscle Gain
25,Female,Metro,37016,Postgraduate,Professional,8647,2,Strength Training,22,540,Yes,"Step Tracker, Challenges",Never,No,"1:1 Coach, Personalized Plans, Ad-free Experience",352,3,Lack of Time,Self,Smartphone,5,Community Posts,No,Rehabilitation
36,Female,Urban,57436,Postgraduate,Professional,5884,3,Strength Training,12,568,Yes,"Challenges, Workout Plans, Social Community, Progress Tracking",Weekly,No,"Custom Diet Plans, Ad-free Experience",392,4,Cost,Self,Smartphone,7,Live Classes,Yes,Muscle Gain
34,Male,Urban,56929,Graduate,Professional,7928,7,Strength Training,77,1171,Yes,"Step Tracker, Progress Tracking, Diet Tracking, Workout Plans",Daily,No,"Personalized Plans, Ad-free Experience, Social Competitions",429,6,Health Issues,Friends,Smartwatch,6,Articles,Yes,Rehabilitation
22,Male,Metro,36143,Postgraduate,Homemaker,8238,6,Strength Training,60,899,No,None,Never,No,None,322,2,Guidance,Self,Smartphone,2,None,No,Rehabilitation
30,Male,Urban,80377,Postgraduate,Retired,7982,1,Sports,22,616,No,None,Never,No,None,400,5,Guidance,Self,Fitness Band,3,None,No,General Wellness
36,Female,Semi-Urban,75037,Graduate,Other,5988,1,Strength Training,36,400,Yes,Progress Tracking,Daily,No,Personalized Plans,551,8,Cost,None,Smartwatch,8,Live Classes,No,Weight Loss
16,Male,Urban,60045,High School,Professional,8263,1,Strength Training,15,549,Yes,"Step Tracker, Challenges, Progress Tracking, Workout Plans",Weekly,No,"1:1 Coach, Personalized Plans",470,5,Motivation,Family,Smartwatch,7,Articles,No,Muscle Gain
34,Female,Metro,45347,Graduate,Homemaker,10515,6,Cardio,24,778,Yes,"Progress Tracking, Step Tracker, Diet Tracking, Workout Plans",Weekly,No,"1:1 Coach, Social Competitions, Personalized Plans",630,8,Lack of Time,Family,Fitness Band,9,Challenges,Yes,Athletic Training
24,Female,Metro,111787,Postgraduate,Professional,3936,6,Cardio,11,484,Yes,"Workout Plans, Social Community, Step Tracker",Daily,Yes,"Personalized Plans, Ad-free Experience",601,7,Other,Self,Smartphone,9,Articles,Yes,Athletic Training
34,Male,Metro,151403,Graduate,Student,4899,5,Yoga,103,830,Yes,Step Tracker,Daily,No,"Ad-free Experience, Social Competitions",551,10,Motivation,Friends,Smartwatch,8,Challenges,No,Weight Loss
23,Male,Rural,51959,Postgraduate,Homemaker,7068,2,Cardio,36,469,Yes,Workout Plans,Daily,No,"1:1 Coach, Social Competitions, Ad-free Experience",255,6,Guidance,Family,Fitness Band,4,Articles,Yes,Muscle Gain
15,Male,Metro,48723,Graduate,Professional,4359,3,Cardio,25,400,Yes,"Challenges, Workout Plans",Daily,No,"Custom Diet Plans, 1:1 Coach, Ad-free Experience",392,6,Guidance,Friends,Fitness Band,6,Live Classes,Yes,General Wellness
16,Female,Urban,84592,Postgraduate,Professional,2491,3,Yoga,9,400,Yes,"Step Tracker, Diet Tracking",Daily,No,"1:1 Coach, Personalized Plans, Ad-free Experience",437,8,Lack of Time,Self,Smartwatch,5,Video Workouts,Yes,General Wellness
30,Female,Metro,55325,High School,Professional,9732,2,Yoga,28,776,Yes,"Step Tracker, Social Community",Daily,No,1:1 Coach,288,8,Other,Self,Smartphone,6,Challenges,Yes,Athletic Training
32,Female,Metro,308580,Graduate,Professional,1428,3,Sports,25,400,Yes,"Social Community, Step Tracker",Daily,No,"Ad-free Experience, Custom Diet Plans",360,6,Cost,Influencers,Smartphone,5,Articles,Yes,General Wellness
22,Female,Semi-Urban,95781,Graduate,Professional,5994,0,Strength Training,19,400,No,None,Never,No,None,459,3,Lack of Time,Influencers,Smartphone,3,None,No,Athletic Training
35,Male,Urban,25471,Graduate,Professional,8897,1,Mixed,26,668,Yes,"Step Tracker, Progress Tracking, Social Community, Workout Plans",Weekly,No,"Custom Diet Plans, Social Competitions",264,6,Other,Self,Smartwatch,8,Video Workouts,No,Weight Loss
16,Female,Metro,127918,Postgraduate,Other,7666,6,None,13,695,Yes,Workout Plans,Daily,Yes,"Ad-free Experience, 1:1 Coach",950,6,Cost,Family,Smartphone,8,Articles,Yes,Weight Loss
29,Female,Metro,68620,Graduate,Student,6031,5,Mixed,65,802,Yes,"Diet Tracking, Step Tracker",Daily,No,"Advanced Analytics, Custom Diet Plans, Social Competitions",183,6,Motivation,Influencers,Fitness Band,8,Articles,Yes,Weight Loss
20,Male,Metro,53865,Graduate,Professional,4256,3,Yoga,60,625,Yes,"Diet Tracking, Workout Plans, Step Tracker",Daily,No,Personalized Plans,582,4,Guidance,Family,Smartphone,4,Articles,No,Rehabilitation
24,Other,Urban,63283,Graduate,Professional,7859,3,Cardio,72,655,Yes,"Diet Tracking, Social Community, Step Tracker",Daily,No,"1:1 Coach, Personalized Plans, Ad-free Experience",470,3,Lack of Time,Influencers,Fitness Band,7,Live Classes,No,Muscle Gain
30,Female,Urban,64939,Graduate,Professional,4529,2,None,8,510,Yes,"Challenges, Step Tracker",Rarely,No,"Personalized Plans, Ad-free Experience",339,6,Guidance,Friends,Smartwatch,8,Articles,Yes,Weight Loss
23,Female,Metro,27844,High School,Professional,7664,5,Cardio,99,1303,Yes,"Step Tracker, Diet Tracking, Progress Tracking, Workout Plans",Weekly,No,Advanced Analytics,301,8,Lack of Time,Self,Smartphone,9,Video Workouts,No,Weight Loss
26,Female,Metro,139730,High School,Professional,7352,5,Cardio,31,718,No,None,Never,No,None,289,5,Guidance,Self,Fitness Band,1,None,No,Weight Loss
38,Female,Metro,67552,Postgraduate,Homemaker,7377,5,Strength Training,11,400,Yes,"Social Community, Workout Plans, Step Tracker, Challenges",Daily,No,"1:1 Coach, Personalized Plans, Social Competitions",333,5,Guidance,Friends,Smartwatch,6,Articles,No,General Wellness
25,Female,Rural,82578,Graduate,Retired,5399,4,Cardio,14,404,Yes,"Progress Tracking, Workout Plans, Step Tracker",Daily,No,Social Competitions,344,8,Health Issues,Family,Smartphone,8,Community Posts,Yes,General Wellness
36,Male,Rural,106486,Postgraduate,Homemaker,12087,1,None,33,794,Yes,"Step Tracker, Social Community",Daily,Yes,Advanced Analytics,888,7,Cost,Family,Smartphone,7,Challenges,Yes,General Wellness
20,Male,Metro,39712,Other,Homemaker,7895,2,Yoga,43,566,Yes,"Step Tracker, Progress Tracking, Diet Tracking",Daily,No,1:1 Coach,586,2,Lack of Time,Self,Smartphone,5,Live Classes,No,Weight Loss
34,Female,Urban,83845,Graduate,Professional,6303,3,Yoga,22,640,Yes,"Step Tracker, Diet Tracking, Social Community",Daily,No,"Social Competitions, Advanced Analytics, Personalized Plans",373,2,Health Issues,Family,Smartwatch,4,Community Posts,Yes,Athletic Training
41,Male,Metro,57883,Graduate,Homemaker,7660,2,Yoga,24,611,Yes,Challenges,Weekly,No,"Advanced Analytics, Custom Diet Plans",248,4,Guidance,Family,Smartphone,5,Community Posts,Yes,Weight Loss
15,Male,Metro,101051,Graduate,Professional,5063,5,Strength Training,21,433,Yes,"Diet Tracking, Social Community, Step Tracker, Progress Tracking",Weekly,Yes,"Personalized Plans, 1:1 Coach, Ad-free Experience",618,9,Guidance,Self,Smartphone,5,Video Workouts,No,General Wellness
23,Male,Urban,22842,Doctorate,Professional,6034,2,Cardio,54,554,Yes,"Diet Tracking, Progress Tracking, Challenges, Social Community",Daily,Yes,"Ad-free Experience, 1:1 Coach",672,7,Lack of Time,Self,Smartphone,8,Video Workouts,Yes,Weight Loss
34,Male,Rural,62972,Postgraduate,Professional,12979,1,Yoga,19,667,No,None,Never,No,None,226,4,Health Issues,Friends,Smartphone,5,None,No,Weight Loss
28,Female,Rural,48951,Graduate,Professional,5081,2,Sports,19,405,Yes,"Progress Tracking, Step Tracker, Workout Plans, Diet Tracking",Monthly,No,Ad-free Experience,208,8,Other,Influencers,Fitness Band,4,Live Classes,Yes,Weight Loss
32,Female,Urban,82135,Postgraduate,Professional,6805,7,Strength Training,102,1257,No,None,Never,No,None,601,2,Cost,Self,Smartwatch,4,None,No,Muscle Gain
25,Male,Metro,83702,Graduate,Other,5859,1,Sports,16,550,Yes,"Workout Plans, Step Tracker, Diet Tracking",Weekly,No,"Ad-free Experience, Custom Diet Plans, Personalized Plans",386,6,Other,Self,Smartphone,8,Live Classes,Yes,General Wellness
30,Male,Semi-Urban,46452,Doctorate,Professional,4400,4,Cardio,12,617,Yes,"Challenges, Step Tracker, Workout Plans",Weekly,No,"Ad-free Experience, Personalized Plans",250,6,Motivation,Friends,Fitness Band,6,Challenges,Yes,Weight Loss
28,Male,Metro,46347,Doctorate,Student,8052,3,Cardio,33,488,Yes,"Diet Tracking, Challenges, Workout Plans, Social Community",Rarely,No,"Custom Diet Plans, Personalized Plans, 1:1 Coach",447,4,Health Issues,Self,Fitness Band,4,Articles,Yes,Weight Loss
39,Female,Urban,62609,Graduate,Professional,7091,0,Cardio,22,400,Yes,Social Community,Daily,No,"Social Competitions, Ad-free Experience, Personalized Plans",208,8,Motivation,Self,Smartphone,7,Live Classes,Yes,Athletic Training
32,Female,Metro,42263,Graduate,Student,9277,3,Strength Training,36,672,Yes,"Step Tracker, Progress Tracking, Challenges, Diet Tracking",Daily,No,Personalized Plans,218,5,Lack of Time,None,Smartphone,6,Live Classes,No,Weight Loss
32,Male,Urban,100809,High School,Student,9026,4,Mixed,58,682,Yes,"Step Tracker, Progress Tracking, Challenges, Workout Plans",Monthly,No,"Custom Diet Plans, Advanced Analytics, Personalized Plans",253,5,Guidance,Influencers,Smartwatch,6,Articles,No,Weight Loss
26,Female,Metro,55016,Graduate,Professional,9251,3,Mixed,30,678,Yes,"Progress Tracking, Step Tracker, Diet Tracking, Social Community",Weekly,No,Personalized Plans,548,9,Cost,Self,Fitness Band,6,Challenges,Yes,Muscle Gain
26,Female,Metro,15467,Postgraduate,Professional,4704,6,Strength Training,37,702,Yes,Step Tracker,Rarely,No,"Personalized Plans, Custom Diet Plans",319,6,Motivation,Self,Fitness Band,7,Video Workouts,No,Athletic Training
26,Female,Rural,54862,Graduate,Professional,8602,2,Yoga,61,832,Yes,Step Tracker,Daily,No,"Personalized Plans, Ad-free Experience, Advanced Analytics",56,7,Lack of Time,Influencers,Smartphone,7,Challenges,Yes,Weight Loss
33,Female,Metro,39368,High School,Homemaker,8663,0,Sports,40,559,No,None,Never,No,None,495,5,Lack of Time,Self,Smartwatch,7,None,No,None
26,Male,Urban,29271,Graduate,Professional,4447,7,Cardio,22,515,Yes,"Progress Tracking, Challenges",Daily,Yes,"Social Competitions, Custom Diet Plans, Advanced Analytics",654,7,Motivation,Family,Smartphone,8,Articles,Yes,Weight Loss
32,Female,Metro,35642,Other,Professional,6203,2,Cardio,62,400,Yes,Workout Plans,Daily,No,"Ad-free Experience, Social Competitions",128,7,Lack of Time,Family,Smartwatch,9,Video Workouts,Yes,Muscle Gain
46,Male,Metro,69891,Graduate,Professional,3359,3,None,44,462,Yes,"Diet Tracking, Workout Plans, Social Community",Daily,No,Ad-free Experience,311,5,Lack of Time,Friends,Manual Entry,7,Video Workouts,Yes,Weight Loss
36,Female,Metro,128581,Graduate,Professional,8674,5,Yoga,85,1057,No,None,Never,No,None,412,3,Motivation,Self,Manual Entry,3,None,No,General Wellness
27,Female,Metro,77388,Graduate,Professional,8662,2,None,70,771,Yes,"Progress Tracking, Challenges, Diet Tracking",Daily,No,Ad-free Experience,398,5,Other,Influencers,Smartwatch,7,Video Workouts,Yes,Weight Loss
39,Female,Semi-Urban,48861,Other,Student,10575,4,Strength Training,22,660,Yes,Workout Plans,Daily,Yes,"Custom Diet Plans, 1:1 Coach, Personalized Plans",969,7,Cost,Self,Smartphone,6,Challenges,Yes,General Wellness
26,Female,Metro,83112,Postgraduate,Student,6428,1,Yoga,35,437,Yes,"Diet Tracking, Social Community",Daily,No,"Personalized Plans, Ad-free Experience, Advanced Analytics",247,7,Motivation,Self,Smartwatch,7,Articles,Yes,Weight Loss
15,Male,Rural,52599,Graduate,Homemaker,8128,2,Cardio,30,439,Yes,Progress Tracking,Daily,No,"Ad-free Experience, Personalized Plans, Advanced Analytics",355,6,Other,Family,Smartphone,3,Challenges,Yes,Muscle Gain
21,Female,Urban,46756,High School,Professional,9469,1,Cardio,8,400,Yes,"Diet Tracking, Challenges, Step Tracker, Workout Plans",Daily,No,"Personalized Plans, 1:1 Coach, Social Competitions",266,5,Guidance,Friends,Smartwatch,5,Challenges,No,Athletic Training
15,Other,Metro,37153,High School,Professional,5115,5,Strength Training,16,400,Yes,"Workout Plans, Social Community, Diet Tracking",Daily,No,1:1 Coach,164,7,Motivation,Self,Smartphone,7,Community Posts,No,General Wellness
27,Female,Urban,27559,Graduate,Professional,4735,1,Strength Training,101,400,Yes,"Workout Plans, Diet Tracking, Social Community, Progress Tracking",Daily,No,"Ad-free Experience, Personalized Plans",456,5,Motivation,None,Fitness Band,9,Live Classes,No,Weight Loss
30,Male,Urban,54450,Graduate,Retired,5192,4,Cardio,15,489,Yes,"Social Community, Step Tracker",Daily,No,"Personalized Plans, 1:1 Coach",405,5,Motivation,Family,Smartphone,9,Challenges,Yes,General Wellness
43,Male,Urban,71612,Postgraduate,Homemaker,6126,7,Cardio,22,558,Yes,"Step Tracker, Social Community, Challenges, Workout Plans",Rarely,No,"Personalized Plans, Ad-free Experience, Social Competitions",384,6,Lack of Time,Friends,Smartwatch,6,Community Posts,Yes,General Wellness
32,Male,Metro,63050,Graduate,Professional,4823,3,Cardio,24,400,Yes,"Step Tracker, Diet Tracking, Social Community, Challenges",Daily,No,"Custom Diet Plans, Ad-free Experience",401,6,Motivation,Family,Smartphone,7,Articles,Yes,Weight Loss
28,Female,Metro,53745,Postgraduate,Professional,5300,3,Yoga,28,400,Yes,"Workout Plans, Step Tracker, Challenges, Progress Tracking",Daily,Yes,"Ad-free Experience, Personalized Plans",597,8,Guidance,Family,Smartphone,9,Community Posts,Yes,Muscle Gain
36,Female,Semi-Urban,41238,Graduate,Professional,9202,3,Strength Training,25,400,No,None,Never,No,None,229,3,Guidance,Friends,Smartwatch,2,None,No,Weight Loss
15,Male,Rural,89690,Postgraduate,Other,6759,2,Cardio,89,818,No,None,Never,No,None,354,5,Cost,Influencers,Fitness Band,4,None,No,Muscle Gain
31,Male,Semi-Urban,34249,Postgraduate,Other,7766,3,Cardio,16,457,Yes,"Step Tracker, Workout Plans",Weekly,No,"Ad-free Experience, Custom Diet Plans, 1:1 Coach",489,5,Motivation,Family,Smartphone,5,Challenges,No,General Wellness
36,Female,Metro,97539,Graduate,Professional,5623,4,Cardio,5,400,Yes,"Progress Tracking, Workout Plans, Diet Tracking",Daily,No,"Custom Diet Plans, 1:1 Coach",542,4,Cost,Family,Smartphone,6,Articles,Yes,Weight Loss
18,Female,Semi-Urban,40090,Graduate,Homemaker,5459,7,Yoga,34,535,Yes,Workout Plans,Weekly,Yes,"Social Competitions, 1:1 Coach, Advanced Analytics",819,6,Guidance,Self,Smartphone,7,Community Posts,Yes,Weight Loss
39,Female,Urban,45423,Graduate,Professional,7713,7,Cardio,42,947,Yes,"Workout Plans, Challenges",Daily,No,Advanced Analytics,353,7,Other,Self,Fitness Band,7,Challenges,Yes,Weight Loss
32,Female,Urban,31780,High School,Professional,7315,6,Sports,52,867,Yes,"Diet Tracking, Challenges, Social Community, Step Tracker",Rarely,No,Advanced Analytics,382,6,Motivation,Friends,Manual Entry,7,Articles,Yes,Rehabilitation
26,Male,Metro,51498,Graduate,Professional,8944,6,Cardio,91,1125,Yes,"Workout Plans, Challenges, Progress Tracking, Diet Tracking",Daily,Yes,Advanced Analytics,701,8,Health Issues,Self,Fitness Band,9,Articles,Yes,General Wellness
35,Male,Urban,107759,Graduate,Professional,10253,3,Cardio,20,644,No,None,Never,No,None,226,5,Health Issues,Family,Smartphone,4,None,No,Weight Loss
48,Female,Metro,85631,Other,Retired,5271,4,Mixed,5,579,No,None,Never,No,None,352,3,Guidance,Self,Smartphone,4,None,No,Muscle Gain
31,Female,Metro,107927,Graduate,Student,9152,6,Sports,18,684,Yes,"Step Tracker, Social Community",Never,No,"Advanced Analytics, Social Competitions, Custom Diet Plans",189,3,Guidance,Self,Manual Entry,10,Live Classes,Yes,Weight Loss
31,Female,Semi-Urban,85911,Postgraduate,Professional,4300,2,Cardio,12,400,Yes,Workout Plans,Weekly,No,"Social Competitions, Ad-free Experience",335,6,Lack of Time,Self,Smartphone,4,Challenges,Yes,General Wellness
26,Female,Metro,38107,Graduate,Retired,12184,7,Mixed,46,990,No,None,Never,No,None,546,4,Other,Family,Smartphone,6,None,No,Muscle Gain
23,Female,Metro,56083,Postgraduate,Retired,5034,3,Strength Training,43,400,No,None,Never,No,None,448,3,Lack of Time,Self,Smartphone,3,None,No,Rehabilitation
36,Male,Metro,44797,Graduate,Professional,8726,4,Mixed,43,733,No,None,Never,No,None,239,5,Guidance,Influencers,Smartwatch,4,None,No,Weight Loss
23,Male,Rural,128706,Postgraduate,Professional,4281,4,Yoga,33,533,Yes,Challenges,Daily,No,Advanced Analytics,341,2,Motivation,Friends,Smartwatch,6,Live Classes,No,General Wellness
30,Male,Urban,36373,Graduate,Professional,6619,7,Yoga,26,776,Yes,"Step Tracker, Diet Tracking",Daily,Yes,"Custom Diet Plans, Social Competitions",574,9,Motivation,Family,Smartphone,7,Articles,Yes,General Wellness
26,Male,Metro,103450,Graduate,Professional,10864,2,None,19,459,Yes,"Challenges, Progress Tracking",Daily,No,1:1 Coach,342,7,Guidance,Self,Fitness Band,7,Articles,No,General Wellness
33,Female,Semi-Urban,103412,Graduate,Other,4955,5,Cardio,37,482,Yes,"Diet Tracking, Social Community",Daily,No,"Custom Diet Plans, Ad-free Experience, Social Competitions",474,6,Health Issues,Self,Smartphone,8,Community Posts,No,Muscle Gain
32,Prefer not to say,Semi-Urban,165183,Graduate,Retired,12510,3,Yoga,48,827,Yes,"Workout Plans, Step Tracker",Daily,No,"Personalized Plans, Social Competitions, Custom Diet Plans",428,1,Motivation,Family,Smartphone,7,Live Classes,No,General Wellness
38,Male,Metro,53914,Graduate,Professional,6986,2,Strength Training,22,516,Yes,"Challenges, Step Tracker, Workout Plans",Rarely,No,"Social Competitions, Custom Diet Plans",648,8,Other,Self,Smartphone,6,Video Workouts,Yes,Weight Loss
25,Male,Urban,94481,High School,Student,9439,5,Cardio,17,662,No,None,Never,No,None,493,2,Guidance,Family,Smartphone,8,None,No,Muscle Gain
27,Female,Semi-Urban,207072,High School,Student,8007,3,Cardio,33,616,No,None,Never,No,None,374,3,Lack of Time,Family,Smartphone,5,None,No,Athletic Training
22,Male,Urban,48590,Postgraduate,Retired,8142,4,Cardio,24,672,Yes,"Workout Plans, Step Tracker, Challenges, Social Community",Daily,No,Custom Diet Plans,431,5,Lack of Time,Self,Smartwatch,8,Challenges,Yes,Rehabilitation
26,Female,Metro,30714,Graduate,Professional,3434,2,Yoga,63,400,No,None,Never,No,None,325,4,Cost,Friends,Smartphone,3,None,No,General Wellness
33,Female,Semi-Urban,25848,Graduate,Professional,5817,3,Yoga,59,717,Yes,"Workout Plans, Progress Tracking, Step Tracker",Daily,No,Advanced Analytics,214,7,Lack of Time,Friends,Smartphone,5,Live Classes,Yes,Muscle Gain
36,Female,Urban,94500,Postgraduate,Professional,9989,4,Yoga,48,873,Yes,"Workout Plans, Social Community, Step Tracker",Weekly,No,"Ad-free Experience, Custom Diet Plans",506,7,Motivation,Friends,Smartphone,6,Articles,Yes,General Wellness
22,Male,Metro,25807,Graduate,Professional,6139,2,Cardio,35,478,Yes,"Workout Plans, Diet Tracking",Daily,No,"Ad-free Experience, 1:1 Coach",471,7,Lack of Time,Self,Smartphone,8,Community Posts,Yes,Weight Loss
36,Male,Metro,54931,Graduate,Student,7347,1,Strength Training,51,701,Yes,Progress Tracking,Daily,No,"Personalized Plans, Advanced Analytics",321,6,Motivation,Influencers,Smartphone,5,Challenges,Yes,Weight Loss
40,Female,Metro,82343,Graduate,Professional,3131,7,None,24,648,Yes,Challenges,Weekly,No,Custom Diet Plans,382,6,Cost,Self,Smartphone,5,Challenges,No,General Wellness
33,Female,Metro,72590,Doctorate,Retired,5656,3,Strength Training,58,706,Yes,"Social Community, Challenges, Step Tracker, Workout Plans",Weekly,No,"Social Competitions, Advanced Analytics",498,4,Motivation,Friends,Fitness Band,7,Community Posts,No,Weight Loss
45,Male,Urban,81856,Postgraduate,Retired,9807,4,Yoga,65,601,Yes,"Step Tracker, Diet Tracking",Daily,No,"Social Competitions, Personalized Plans, Advanced Analytics",451,4,Lack of Time,Self,Manual Entry,7,Articles,Yes,Rehabilitation
23,Female,Metro,73950,Postgraduate,Homemaker,3793,3,Sports,31,590,Yes,"Workout Plans, Step Tracker, Diet Tracking",Rarely,No,"Personalized Plans, Ad-free Experience, Social Competitions",174,7,Lack of Time,Family,Smartwatch,5,Video Workouts,Yes,Muscle Gain
20,Male,Metro,125421,Graduate,Student,8792,2,Mixed,26,687,No,None,Never,No,None,379,5,Motivation,Influencers,Smartphone,2,None,No,Muscle Gain
15,Female,Urban,41103,Postgraduate,Professional,7444,2,Strength Training,40,781,Yes,Step Tracker,Daily,No,"Custom Diet Plans, 1:1 Coach, Advanced Analytics",329,7,Lack of Time,Influencers,Manual Entry,9,Community Posts,No,General Wellness
41,Male,Metro,47169,Graduate,Professional,6410,2,Mixed,15,598,Yes,Workout Plans,Daily,No,1:1 Coach,483,5,Guidance,Friends,Smartphone,7,Video Workouts,Yes,General Wellness
35,Female,Rural,44966,High School,Professional,6300,3,Strength Training,44,749,Yes,"Progress Tracking, Workout Plans, Step Tracker, Social Community",Daily,No,"Social Competitions, Advanced Analytics",473,7,Guidance,Influencers,Smartphone,4,Live Classes,Yes,Muscle Gain
